Datetime,time,Measured & Upscaled,Most recent forecast,Day Ahead 11AM forecast,Day-ahead 6PM forecast,Week-ahead forecast,Monitored capacity,Load factor,Decremental bid Indicator
2022-12-31,23:45:00,2162.12,2149.19,2162.37,2166.88,2166.81,2254.4,0.96,''
2022-12-31,23:30:00,2177.87,2147.49,2163.54,2166.88,2165.38,2254.4,0.97,''
2022-12-31,23:15:00,2180.85,2129.58,2166.1,2166.88,2166.88,2254.4,0.97,''
2022-12-31,23:00:00,2177.68,2123.49,2166.88,2140.43,2166.88,2254.4,0.97,''
2022-12-31,22:45:00,2187.05,2133.89,2166.88,2156.51,2165.73,2254.4,0.97,''
2022-12-31,22:30:00,2177.33,2157.48,2166.81,2151.32,2166.88,2254.4,0.97,''
2022-12-31,22:15:00,2160.85,2145.94,2164.64,2159.14,2166.88,2254.4,0.96,''
2022-12-31,22:00:00,2156.07,2159.8,2158.91,2159.33,2166.88,2254.4,0.96,''
2022-12-31,21:45:00,2154.5,2160.8,2164.25,2148.89,2166.88,2254.4,0.96,''
2022-12-31,21:30:00,2177.52,2163.47,2166.88,2140.82,2166.88,2254.4,0.97,''
2022-12-31,21:15:00,2176.74,2165.25,2165.26,2133.65,2166.88,2254.4,0.97,''
2022-12-31,21:00:00,2176.3,2158.41,2158.56,2164.27,2166.88,2254.4,0.97,''
2022-12-31,20:45:00,2167.99,2160.79,2162.83,2164.98,2166.88,2254.4,0.96,''
2022-12-31,20:30:00,2167.94,2163.51,2162.58,2166.01,2166.88,2254.4,0.96,''
2022-12-31,20:15:00,2176.78,2164.87,2166.38,2156.66,2166.88,2254.4,0.97,''
2022-12-31,20:00:00,2174.53,2159.01,2166.88,2158.91,2166.88,2254.4,0.96,''
2022-12-31,19:45:00,2164.56,2158.66,2165.39,2164.91,2166.88,2254.4,0.96,''
2022-12-31,19:30:00,2150.98,2153.33,2165.96,2163.91,2166.88,2254.4,0.95,''
2022-12-31,19:15:00,2168.56,2166.88,2164.22,2159.19,2166.88,2254.4,0.96,''
2022-12-31,19:00:00,2172.99,2162.29,2159.46,2161.92,2166.88,2254.4,0.96,''
2022-12-31,18:45:00,2171.01,2159.37,2166.05,2160.29,2166.88,2254.4,0.96,''
2022-12-31,18:30:00,2175.77,2162.47,2156.07,2152.35,2166.88,2254.4,0.97,''
2022-12-31,18:15:00,2177.58,2162.88,2164.02,2163.96,2166.88,2254.4,0.97,''
2022-12-31,18:00:00,2171.97,2165.34,2166.88,2163.42,2166.88,2254.4,0.96,''
2022-12-31,17:45:00,2177.22,2154.07,2161.97,2165.86,2166.88,2254.4,0.97,''
2022-12-31,17:30:00,2183.54,2158.17,2166.88,2161.06,2166.88,2254.4,0.97,''
2022-12-31,17:15:00,2173.44,2166.77,2152.13,2150.61,2166.88,2254.4,0.96,''
2022-12-31,17:00:00,2160.75,2166.85,2143.41,2155.4,2166.88,2254.4,0.96,''
2022-12-31,16:45:00,2123.24,2158.5,2137.66,2161.02,2166.88,2254.4,0.94,''
2022-12-31,16:30:00,2108.01,2154.52,2161.61,2164.92,2166.88,2254.4,0.94,''
2022-12-31,16:15:00,2147.48,2162.26,2165.06,2159.09,2166.88,2254.4,0.95,''
2022-12-31,16:00:00,2162.67,2159.86,2159.1,2161.48,2166.88,2254.4,0.96,''
2022-12-31,15:45:00,2210.98,2166.88,2166.88,2166.88,2166.88,2254.4,0.98,''
2022-12-31,15:30:00,2213.83,2163.65,2165.85,2165.67,2166.88,2254.4,0.98,''
2022-12-31,15:15:00,2216.53,2161.4,2166.7,2161.79,2166.88,2254.4,0.98,''
2022-12-31,15:00:00,2217.75,2162.44,2159.21,2166.26,2166.88,2254.4,0.98,''
2022-12-31,14:45:00,2179.32,2155.52,2163.13,2162.87,2166.88,2254.4,0.97,''
2022-12-31,14:30:00,2179.68,2161.71,2161.43,2166.87,2166.74,2254.4,0.97,''
2022-12-31,14:15:00,2174.83,2158.54,2164,2154.46,2166.88,2254.4,0.96,''
2022-12-31,14:00:00,2186.72,2166.64,2161.66,2136.58,2166.88,2254.4,0.97,''
2022-12-31,13:45:00,2188.49,2154.41,2163.79,2125.76,2166.88,2254.4,0.97,''
2022-12-31,13:30:00,2168.09,2156.66,2156.02,2136.44,2166.88,2254.4,0.96,''
2022-12-31,13:15:00,2189.13,2161.59,2155.82,2139.25,2166.88,2254.4,0.97,''
2022-12-31,13:00:00,2178.86,2166.88,2159.11,2133.64,2166.88,2254.4,0.97,''
2022-12-31,12:45:00,2184.38,2161.77,2159.51,2138.09,2166.88,2254.4,0.97,''
2022-12-31,12:30:00,2182.35,2166.88,2164.97,2140.02,2166.88,2254.4,0.97,''
2022-12-31,12:15:00,2179.19,2165.59,2164.79,2137.55,2166.88,2254.4,0.97,''
2022-12-31,12:00:00,2179.08,2162.55,2164.86,2129.94,2166.88,2254.4,0.97,''
2022-12-31,11:45:00,2135.79,2161.81,2165.79,2155.16,2166.88,2254.4,0.95,''
2022-12-31,11:30:00,2117.26,2163.36,2164.85,2142.16,2166.88,2254.4,0.94,''
2022-12-31,11:15:00,2186.11,2157.4,2166.12,2148.79,2166.88,2254.4,0.97,''
2022-12-31,11:00:00,2198.4,2160.69,2165.21,2152.24,2166.88,2254.4,0.98,''
2022-12-31,10:45:00,2188.38,2157.77,2166.11,2165.22,2166.88,2254.4,0.97,''
2022-12-31,10:30:00,2193.12,2158.93,2166.88,2156.53,2166.88,2254.4,0.97,''
2022-12-31,10:15:00,2179.71,2165.54,2162.47,2164.8,2166.88,2254.4,0.97,''
2022-12-31,10:00:00,2176.5,2160.26,2166.88,2161.38,2166.88,2254.4,0.97,''
2022-12-31,9:45:00,2183.92,2164.85,2163.1,2163.66,2166.88,2254.4,0.97,''
2022-12-31,9:30:00,2171.26,2163.36,2150.06,2131.45,2166.88,2254.4,0.96,''
2022-12-31,9:15:00,2179.4,2162.02,2122.35,2148.18,2166.88,2254.4,0.97,''
2022-12-31,9:00:00,2186.26,2166.88,2146.07,2143.73,2166.88,2254.4,0.97,''
2022-12-31,8:45:00,2173.93,2165.21,2144.68,2164.91,2166.88,2254.4,0.96,''
2022-12-31,8:30:00,2178.96,2160.07,2148.41,2126.45,2166.88,2254.4,0.97,''
2022-12-31,8:15:00,2180.08,2163.35,2110.02,2138.17,2166.88,2254.4,0.97,''
2022-12-31,8:00:00,2187.25,2162.4,2132.68,2146.65,2166.88,2254.4,0.97,''
2022-12-31,7:45:00,2188.96,2161.81,1892.43,2139.28,2166.88,2254.4,0.97,''
2022-12-31,7:30:00,2189.81,2156.2,1930.02,2126.06,2166.88,2254.4,0.97,''
2022-12-31,7:15:00,2182.45,2161.24,1896.43,2139.86,2166.88,2254.4,0.97,''
2022-12-31,7:00:00,2176.84,2159.72,1867.75,2118.92,2166.88,2254.4,0.97,''
2022-12-31,6:45:00,2169.46,2150.18,1887.15,2128.28,2166.88,2254.4,0.96,''
2022-12-31,6:30:00,2185.01,2161.58,1906.42,1929.96,2166.88,2254.4,0.97,''
2022-12-31,6:15:00,2186.52,2162.93,1905.43,1925.11,2166.88,2254.4,0.97,''
2022-12-31,6:00:00,2136.78,2166.88,1907.04,2148.22,2166.88,2254.4,0.95,''
2022-12-31,5:45:00,2060.1,2158.43,1881.37,2145.95,2166.88,2254.4,0.91,''
2022-12-31,5:30:00,2018.69,2166.63,1916.94,2165.03,2166.88,2254.4,0.9,''
2022-12-31,5:15:00,2034.27,2148.42,2137.39,2055.67,2166.88,2254.4,0.9,''
2022-12-31,5:00:00,1977.24,2037.52,2149.58,2019.76,2166.88,2254.4,0.88,''
2022-12-31,4:45:00,1639.72,2004.17,2161.51,1989.03,2166.88,2254.4,0.73,''
2022-12-31,4:30:00,1457.07,1934.68,2137.33,1901.8,2166.88,2254.4,0.65,''
2022-12-31,4:15:00,1383,1818.01,1944.45,1817.27,2166.88,2254.4,0.61,''
2022-12-31,4:00:00,1203.76,1646.74,1878.06,1751.41,2166.88,2254.4,0.53,''
2022-12-31,3:45:00,1053.7,1788.4,1883.67,1790.32,2166.88,2254.4,0.47,''
2022-12-31,3:30:00,1329.13,1928.68,1860.69,1805.68,2166.88,2254.4,0.59,''
2022-12-31,3:15:00,1638.46,2030.7,1836.83,1816.48,2166.88,2254.4,0.73,''
2022-12-31,3:00:00,1986.06,2079.73,1800.13,1806.84,2166.88,2254.4,0.88,''
2022-12-31,2:45:00,2071.58,2083.67,1798.25,1826.75,2166.88,2254.4,0.92,''
2022-12-31,2:30:00,2092.06,2081.98,1769.71,1829.7,2166.88,2254.4,0.93,''
2022-12-31,2:15:00,2057.17,2082.99,1782.02,1837.3,2166.88,2254.4,0.91,''
2022-12-31,2:00:00,2089.32,2071.94,1829.82,1840.29,2166.88,2254.4,0.93,''
2022-12-31,1:45:00,2117.94,2099.66,1853.97,1883.12,2166.88,2254.4,0.94,"-39,900"
2022-12-31,1:30:00,2079.07,2109.86,1864.11,1913.14,2166.88,2254.4,0.92,"-40,600"
2022-12-31,1:15:00,2022.23,2118.51,1888.1,1946.1,2166.88,2254.4,0.9,"-41,100"
2022-12-31,1:00:00,1889.68,2137.08,1887.95,1967.67,2166.88,2254.4,0.84,"-134,200"
2022-12-31,0:45:00,2051.04,2123.62,1896.85,2004.07,2166.88,2254.4,0.91,''
2022-12-31,0:30:00,2105.4,2138.37,1911.7,2032.94,2166.88,2254.4,0.93,''
2022-12-31,0:15:00,2147.96,2146.89,1952.99,2063.15,2166.88,2254.4,0.95,''
2022-12-31,0:00:00,2127.56,2152.77,1993.37,2085.59,2166.88,2254.4,0.94,''
2022-12-30,23:45:00,2135.61,2158,2122.97,2124.75,2166.88,2254.4,0.95,''
2022-12-30,23:30:00,2155.98,2160.25,2128.01,2103.15,2166.88,2254.4,0.96,''
2022-12-30,23:15:00,2176.08,2162.49,2125.67,2107.29,2166.88,2254.4,0.97,''
